,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
2015,4th Math,8th Math,4th Reading,8th Reading,Total,Score Rank,PPF,PPF Rank,$ per point,White,Black,Hispanic,Asian,Nat. Am.,IEP,ELL,At-Risk,Charter %,Ratio
Alabama,231,267,217,259,974,47,"$8,803",43,$9.04,58.1%,34.1%,4.6%,1.3%,0.8%,10.7%,2.4%,57.4%,0.0%,15.6
Alaska,236,280,213,260,989,41,"$16,719",4,$16.90,50.8%,3.6%,6.2%,6.1%,23.4%,13.7%,11.1%,40.5%,5.2%,16.2
Arizona,238,283,215,263,999,37,"$7,737",48,$7.74,42.1%,5.3%,42.8%,2.7%,5.0%,11.7%,7.0%,47.4%,23.4%,21.2
Arkansas,235,275,218,259,987,43,"$9,526",30,$9.65,64.3%,21.2%,10.2%,1.4%,60.0%,13.4%,6.7%,60.9%,3.7%,14.2
California,232,275,213,259,979,46,"$9,184",36,$9.38,26.0%,6.5%,52.1%,11.1%,0.6%,10.7%,23.0%,24.5%,9.8%,23.4
Colorado,242,286,224,268,1020,18,"$8,901",41,$8.73,56.1%,4.7%,31.9%,3.1%,0.8%,10.2%,12.0%,40.8%,9.7%,17.7
Connecticut,240,284,229,273,1026,9,"$16,125",5,$15.72,60.8%,13.0%,19.5%,4.4%,0.3%,12.3%,5.4%,35.0%,1.4%,12.6
D.C.,231,263,212,248,954,51,"$21,347",1,$22.38,7.7%,76.4%,13.1%,1.4%,0.0%,16.9%,6.4%,61.2%,44.7%,11.7
Delaware,239,280,224,263,1006,33,"$12,723",13,$12.65,49.5%,31.6%,13.0%,3.4%,0.4%,14.8%,5.5%,48.6%,9.8%,15.0
Florida,243,275,227,263,1008,30,"$9,060",39,$8.99,42.4%,22.9%,28.5%,2.5%,0.3%,13.3%,8.7%,57.5%,14.0%,15.2
Georgia,236,279,222,262,999,37,"$9,311",34,$9.32,44.1%,37.0%,12.1%,3.4%,0.2%,10.6%,4.9%,58.5%,5.2%,15.1
Hawaii,238,279,215,257,989,41,"$11,884",17,$12.02,14.2%,2.4%,6.4%,34.2%,0.5%,10.7%,13.5%,49.2%,10.7%,15.9
