,,,,,Score,,Cost,,,,,,Demographics,,,,,,Teach./Student
2017,4th Math,8th Math,4th Reading,8th Reading,Total,Score Rank,PPF,PPF Rank,$ per point,White,Black,Hispanic,Asian,Nat. Am.,IEP,ELL,At-Risk,Charter %,Ratio
Alabama,232,268,216,258,974,47,"$9,146",40,$9.39,55.6%,33.2%,6.8%,1.4%,0.9%,7.5%,2.7%,51.0%,0.0%,18.3
Alaska,230,277,207,258,972,48,"$20,191",3,$20.77,48.2%,3.2%,6.7%,5.9%,23.1%,13.9%,x,42.7%,5.5%,16.9
Arizona,234,282,215,263,994,38,"$7,590",49,$7.64,39.5%,5.3%,44.9%,2.8%,4.5%,11.9%,x,x,24.2%,23.1
Arkansas,234,274,216,260,984,43,"$9,805",34,$9.96,61.8%,20.8%,12.3%,1.6%,0.6%,13.9%,x,63.5%,6.0%,13.8
California,232,277,215,263,987,41,"$10,449",30,$10.59,24.1%,5.8%,54.0%,11.4%,5.6%,11.7%,21.0%,58.7%,11.9%,23.6
Colorado,241,286,225,270,1022,14,"$9,292",39,$9.09,54.1%,4.6%,33.4%,3.1%,7.1%,x,11.6%,41.8%,12.1%,17.4
Connecticut,239,284,228,273,1024,11,"$19,020",4,$18.57,56.0%,12.8%,23.1%,5.0%,0.3%,14.0%,6.5%,37.9%,1.8%,12.3
D.C.,231,266,213,247,957,51,"$20,610",2,$21.54,10.2%,70.9%,15.4%,1.4%,0.2%,14.6%,x,74.2%,50.4%,12.4
Delaware,236,278,221,263,998,35,"$13,882",15,$13.91,46.0%,30.6%,16.0%,3.7%,3.8%,15.4%,7.2%,37.4%,12.6%,15.1
Florida,246,279,228,267,1020,16,"$9,113",41,$8.93,39.5%,22.5%,31.6%,2.6%,0.3%,13.3%,9.6%,58.8%,15.1%,15.3
Georgia,236,281,220,266,1003,32,"$9,476",38,$9.45,41.0%,36.9%,14.6%,3.8%,0.2%,11.5%,6.4%,62.4%,3.6%,15.6
Hawaii,238,277,216,261,992,39,"$12,855",17,$12.96,12.9%,1.9%,12.0%,30.3%,0.3%,10.6%,7.5%,49.6%,11.7%,15.5
Idaho,240,284,223,270,1017,19,"$6,899",50,$6.78,76.0%,1.0%,17.7%,1.2%,1.4%,10.2%,x,46.9%,7.3%,18.7
Illinois,238,282,220,267,1007,28,"$13,935",14,$13.84,48.8%,17.3%,25.5%,4.7%,0.3%,14.5%,x,49.3%,1.5%,15.7
Indiana,247,288,226,272,1033,6,"$9,529",37,$9.22,69.3%,12.4%,11.1%,2.2%,0.2%,16.4%,4.9%,48.2%,4.6%,18.2
Iowa,243,286,222,268,1019,17,"$10,938",27,$10.73,77.6%,5.6%,10.3%,2.4%,0.4%,12.5%,x,40.8%,0.2%,14.2
Kansas,241,285,223,267,1016,22,"$10,329",31,$10.17,65.0%,7.1%,19.3%,2.7%,0.9%,14.3%,x,48.4%,0.8%,12.4
Kentucky,239,278,224,265,1006,29,"$9,560",36,$9.50,78.2%,10.6%,6.0%,1.6%,12.0%,14.5%,3.2%,59.4%,0.0%,16.4
Louisiana,229,267,212,257,965,49,"$11,106",24,$11.51,45.5%,44.2%,5.9%,1.5%,6.9%,13.4%,x,58.3%,9.9%,12.3
Maine,240,284,221,269,1014,24,"$13,976",13,$13.78,90.2%,3.3%,2.0%,1.5%,0.9%,16.7%,x,44.7%,1.1%,12.2
Maryland,241,281,225,267,1014,24,"$14,431",11,$14.23,39.1%,34.4%,15.5%,6.3%,0.3%,11.9%,7.2%,45.0%,3.5%,14.8
Massachusetts,249,297,236,278,1060,1,"$16,566",7,$15.63,62.8%,8.8%,18.5%,6.4%,0.2%,17.5%,8.6%,x,4.4%,13.4
Michigan,236,280,218,265,999,33,"$10,956",26,$10.97,67.1%,18.2%,7.4%,3.1%,0.7%,12.8%,x,44.6%,10.7%,18.3
Minnesota,249,294,225,269,1037,4,"$11,924",19,$11.50,68.6%,10.3%,8.8%,6.5%,1.7%,14.8%,x,38.1%,8.7%,15.4
Mississippi,235,271,215,256,977,46,"$8,445",47,$8.64,44.8%,49.2%,3.4%,1.0%,0.2%,13.5%,x,74.9%,0.2%,15.1
Missouri,240,281,223,266,1010,26,"$10,231",32,$10.13,72.2%,16.2%,5.9%,1.9%,0.4%,13.7%,x,50.0%,2.0%,13.6
Montana,241,286,222,267,1016,22,"$11,078",25,$10.90,79.2%,0.9%,4.5%,0.8%,11.4%,12.0%,x,44.8%,0.0%,14.0
Nebraska,246,288,224,269,1027,9,"$12,174",18,$11.85,67.7%,6.7%,18.1%,2.6%,1.4%,15.1%,x,44.2%,0.0%,13.6
Nevada,232,275,215,260,982,44,"$8,451",46,$8.61,34.0%,10.5%,41.7%,5.5%,1.0%,11.9%,16.8%,57.3%,7.1%,20.6
New Hampshire,245,293,229,275,1042,3,"$14,969",10,$14.37,86.8%,1.9%,5.0%,3.2%,0.3%,x,x,28.1%,6.3%,12.4
New Jersey,248,292,233,275,1048,2,"$18,838",5,$17.98,48.8%,16.1%,26.7%,9.5%,0.1%,16.5%,x,36.5%,3.4%,12.3
New Mexico,230,269,208,256,963,50,"$9,724",35,$10.10,23.6%,1.9%,61.3%,1.1%,10.2%,14.8%,15.7%,71.4%,11.2%,15.5
New York,236,282,222,264,1004,30,"$20,744",1,$20.66,44.7%,17.7%,25.9%,9.1%,0.7%,x,8.0%,48.6%,5.3%,13.2
North Carolina,241,282,224,263,1010,26,"$8,529",45,$8.44,49.8%,25.8%,16.2%,3.0%,1.3%,12.9%,6.6%,57.4%,6.1%,15.6
North Dakota,244,288,222,265,1019,17,"$12,909",16,$12.67,78.8%,4.2%,4.6%,1.5%,8.8%,x,x,31.0%,0.0%,11.8
Ohio,241,288,225,268,1022,14,"$11,730",20,$11.48,71.3%,16.4%,5.1%,2.1%,0.1%,14.8%,x,44.7%,10.3%,16.9
Oklahoma,237,275,217,261,990,40,"$8,075",48,$8.16,50.0%,8.9%,16.2%,1.9%,14.3%,15.7%,x,61.3%,2.5%,16.3
